Complexity,Loss,Equation
7,0.7832146,"g = -0.52297866 - (#1 + 0.0453839); h = -83.32939; beta = [-0.12490174, 0.88851416, 1.2715013]"
10,0.6079704,"g = #1 * -0.16494983; h = (#1 - -1.8529918) + 2.341936; beta = [1.4376285, 0.76988405, -1.3022864]"
12,0.5532151,"g = (#1 * -0.49699044) - -0.104373984; h = (#1 - -2.438557) + 4.0582876; beta = [0.68810654, 1.098219, -2.375389]"
17,0.52698874,"g = ((#1 - 0.55933475) * #1) + (#2 + #1); h = 1.2975743 + #1; beta = [0.46397135, 0.881182, -1.0629824]"
20,0.52552724,"g = ((#1 * -0.5916565) + #2) + #1; h = (1.7898993 - ((#1 ^ 2.2159715) + -0.05283352)) + -0.5557709; beta = [0.46397135, 0.881182, -1.0629824]"
21,0.5139698,"g = (#1 * -3.0103128) + (#2 + #1); h = ((#1 ^ 4.672958) - -2.285678) + (#1 + -0.035064485); beta = [0.7419348, 1.998253, -1.3801743]"
22,0.43519527,"g = (0.21866067 - (#1 * 0.9072676)) + (#2 + #1); h = (1.7789571 - ((#1 ^ 1.4476002) + -0.0525025)) + -0.6030149; beta = [0.10128358, 1.6354715, -2.2276814]"
24,0.4051972,"g = ((#2 + 0.56179607) - #2) + (((#2 + -0.2132895) - #1) + #2); h = (#1 ^ 0.010509587) - -1.3176049; beta = [0.019058764, 2.4076216, 0.65920955]"
