Complexity,Loss,Equation
1,79.33333,"g = 11.99998"
4,4.703745,"g = #1 ^ 2.0899336"
6,0.13798787,"g = (#1 ^ 2.0020034) + 2.8078778"
9,0.13650763,"g = ((#1 + -0.028576411) * #1) + 2.9047823"
11,0.10129235,"g = ((#1 ^ 2.0280733) + (#1 * -0.2585029)) + 3.140551"
13,0.10092368,"g = ((#1 ^ 2.0280733) + (#1 * -0.2585029)) + (3.140551 - 0.022540279)"
16,0.085532695,"g = (#1 ^ 0.4490108) + ((-0.89761597 * #1) + ((#1 ^ 2.0597038) - -2.9612987))"
18,0.08537074,"g = (#1 ^ 0.4490108) + ((#1 ^ 2.0597038) + (((-0.89761597 * #1) - -2.9612987) - -0.022492139))"
19,0.084912784,"g = ((#1 + (#1 ^ 0.4652135)) + ((#1 * -1.9243283) + (#1 ^ 2.0616648))) - -2.9924264"
