Complexity,Loss,Equation
1,0.13681695,"g = 2.4245594; beta = [10.556896, -8.081229, 0.62462956, -0.47157836]"
4,0.13653675,"g = 2.5892694 - #1; beta = [9.038905, -4.417258, 0.65645635, -0.48605824]"
6,0.10373166,"g = (#1 ^ -0.4601579) + -4.3897004; beta = [5.6215806, -2.1986992, 0.49867103, -0.73788595]"
9,0.10372696,"g = (#1 ^ -0.4607288) + (-4.398928 - #1); beta = [5.621632, -2.199602, 0.49269572, -0.7349262]"
10,0.103725836,"g = ((#1 ^ -0.4601579) + -4.369722) - (0.019978441 + -0.0055588298); beta = [5.6215806, -2.1986992, 0.49867103, -0.73788595]"
11,0.103725255,"g = (#1 ^ -0.4601579) + ((#1 * 0.28008258) + -4.3897004); beta = [5.6215806, -2.1986992, 0.49867103, -0.73788595]"
12,0.103720866,"g = ((#1 ^ -0.46063974) + -4.4144225) - (#1 * #1); beta = [5.6216307, -2.1995814, 0.49308872, -0.73487955]"
14,0.103719264,"g = (#1 ^ -0.46063974) + ((-4.399057 - #1) + (#1 + -0.013629366)); beta = [5.6216307, -2.1995814, 0.49308872, -0.73487955]"
17,0.10371715,"g = #1 + (((#1 ^ -0.46063974) + (-4.399057 - (#1 - #1))) + -0.03151464); beta = [5.6216307, -2.1995814, 0.49308872, -0.73487955]"
