Complexity,Loss,Equation
3,181.13586,"g = 0.7965469 ^ -1.1502525; beta = [0.6112077]"
4,0.16704541,"g = #1 ^ 1.9998515; beta = [3.0025895]"
22,0.1379164,"g = (((#1 * (#1 + -1.829002)) + #1) - (((#1 * -1.7790017) - -0.39930162) + #1)) + 1.2302601; beta = [2.1190405]"
24,0.13791575,"g = (((#1 * (#1 + -3.4428303)) + (#1 - ((#1 * -1.3928366) - -0.72919583))) + 0.8768516) + (#1 + 0.4289616); beta = [2.3733594]"
