Complexity,Loss,Equation
3,193.68408,"g = 0.10112411 - -0.9038406; beta = [0.30154404]"
4,122.05064,"g = #1 - -0.9038406; beta = [0.30154404]"
8,68.129,"g = #1 * ((0.49063748 * 0.6506569) + 1.6982898); beta = [1.0037143]"
10,7.337732,"g = #1 + ((1.1065449 * #1) * #1); beta = [-0.30347183]"
13,5.862522,"g = (((#1 * #1) - #1) - -1.582768) + #1; beta = [-1.1418461]"
15,2.8531237,"g = (((#1 * #1) - (#1 * 0.06396128)) - -1.582768) + #1; beta = [-1.1418461]"
17,1.4225372,"g = ((#1 + ((1.1065449 * #1) * #1)) - #1) - (-0.18836622 - 1.3463191); beta = [-0.30347183]"
19,1.0324236,"g = ((#1 + ((1.1065449 * #1) * #1)) - #1) - ((-0.18836622 - 1.3463191) + 0.012505692); beta = [0.30154404]"
25,0.7443263,"g = (-0.03680235 + (((((1.1065449 * #1) * (#1 - 0.16092578)) - #1) - (-0.18836622 + -0.594864)) + (#1 - 0.10112411))) - -0.9038406; beta = [0.30154404]"
