Complexity,Loss,Equation
1,0.35870948,"g = 1.0865074; beta = [0.00054460036, 2.208843, 0.13739678]"
4,0.32021475,"g = #2 + 1.0049572; beta = [0.0007996927, 4.307706, 0.0386059]"
6,0.28985596,"g = (#1 * -7.945364) + 1.2949637; beta = [0.0010017385, 5.108383, 0.026386244]"
9,0.23604466,"g = (1.2708288 + #2) + (#1 * -7.4472013); beta = [0.00010369484, 1.5539393, 0.1201288]"
11,0.23341921,"g = (#1 * -10.351294) + ((#2 * 1.5697209) + 1.2326207); beta = [0.0017547533, 13.497132, 0.0098684]"
19,0.23341794,"g = (-11.022888 * #1) + (((1.2326207 + (#1 * 1.6708738)) + (#2 * 1.5697209)) - #1); beta = [0.0017547533, 13.497132, 0.0098684]"
22,0.23276071,"g = ((#1 * -11.434923) + (#2 * 1.746209)) + (#2 + (((#1 * 0.22687298) + 1.2200645) - #2)); beta = [0.0037941644, 24.68514, 0.008837052]"
